family_slug,pair_name,left_zeta,right_zeta,noise_std,noise_power,clean_advantage_iae,mean_true_gap_iae,ci_true_gap_iae_low,ci_true_gap_iae_high,mean_observed_gap_iae,ci_observed_gap_iae_low,ci_observed_gap_iae_high,mean_parity_ratio_iae,ci_parity_ratio_iae_low,ci_parity_ratio_iae_high,true_winner_probability_left,observed_winner_probability_left,inversion_probability,ci_inversion_probability_low,ci_inversion_probability_high
pid_generic,0.35_vs_0.707,0.35,0.707,0.06,0.0036,3.4350077418248146,2.6687332152319323,2.647630952187161,2.6890063116742446,0.7481728177648064,0.7426141253823777,0.7539243102453602,0.22307796202689395,0.21758349104334382,0.22898902053370707,1.0,1.0,0.0,0.0,0.0
pid_generic,0.15_vs_0.707,0.15,0.707,0.07,0.004900000000000001,4.348871290837408,0.43768913227704725,0.38900115321139506,0.49480262057218827,-0.07871178841814228,-0.10006140084565089,-0.062063947985134954,0.8993556941546628,0.8880484196204921,0.9111784387048814,0.8611111111111112,0.3,0.5611111111111111,0.49444444444444446,0.6277777777777778
pid_generic,0.25_vs_0.707,0.25,0.707,0.07,0.004900000000000001,3.9833533398263157,1.965663788201894,1.9317687532981258,2.0015621981546734,0.4858101134877166,0.4762659418615105,0.4958858983466328,0.5065303977558765,0.4966966205920288,0.5154386769148368,1.0,1.0,0.0,0.0,0.0
pid_generic,0.35_vs_0.707,0.35,0.707,0.07,0.004900000000000001,3.4350077418248146,2.4224879502601193,2.392053232591347,2.455122418575031,0.6126280060015254,0.6057107228070612,0.6198999806160903,0.29476492272090327,0.28609484664592105,0.30406718164471386,1.0,1.0,0.0,0.0,0.0
pid_generic,0.15_vs_0.707,0.15,0.707,0.08,0.0064,4.348871290837408,-0.11755121627600452,-0.18321619320135446,-0.05010538717874744,-0.2910685606733115,-0.3107011653191212,-0.26790226626425073,1.0270302817477428,1.013126651111075,1.0419339164659418,0.37222222222222223,0.011111111111111112,0.3611111111111111,0.29444444444444445,0.43333333333333335
pid_generic,0.25_vs_0.707,0.25,0.707,0.08,0.0064,3.9833533398263157,1.610005204637965,1.5599901612949145,1.6522009175095411,0.3448856939436943,0.33510747563572657,0.35441703012530706,0.595816623009355,0.583503970618762,0.6078394319648535,1.0,1.0,0.0,0.0,0.0
pid_generic,0.35_vs_0.707,0.35,0.707,0.08,0.0064,3.4350077418248146,2.186813913068302,2.1506115752948762,2.2190364385295247,0.4973856938118778,0.4900370883259542,0.5046515150901136,0.363374385902671,0.3540291076270263,0.37334471293064764,1.0,1.0,0.0,0.0,0.0
pid_generic,0.15_vs_0.707,0.15,0.707,0.085,0.007225000000000001,4.348871290837408,-0.3649453171772917,-0.4336015612805679,-0.30798521603730655,-0.3611880586054126,-0.3871256837045022,-0.33758230772164666,1.0839172495047602,1.0714356538052223,1.0975778977378656,0.18888888888888888,0.0,0.18888888888888888,0.13333333333333333,0.2388888888888889
pid_generic,0.25_vs_0.707,0.25,0.707,0.085,0.007225000000000001,3.9833533398263157,1.4313798152729365,1.3757295766726636,1.4809805048230649,0.28832952290990826,0.2779315762489509,0.2997248272198648,0.6406595917661305,0.627227472413099,0.6538944692135248,0.9944444444444445,1.0,0.0,0.0,0.0
pid_generic,0.35_vs_0.707,0.35,0.707,0.085,0.007225000000000001,3.4350077418248146,2.0661397428051917,2.026307575676702,2.1002612590576635,0.4553105043314447,0.44806828209899857,0.462549424884963,0.39850506953804593,0.38845620797606484,0.40882023503288256,1.0,1.0,0.0,0.0,0.0
pid_generic,0.15_vs_0.707,0.15,0.707,0.09,0.0081,4.348871290837408,-0.6853615958979267,-0.7540936524834662,-0.6235226118693297,-0.47186553034997003,-0.49710726239623776,-0.4487198051972261,1.1575952816405273,1.1414654715018029,1.172414289231072,0.06666666666666667,0.0,0.06666666666666667,0.03333333333333333,0.10555555555555556
pid_generic,0.25_vs_0.707,0.25,0.707,0.09,0.0081,3.9833533398263157,1.2123017319179334,1.1660017276222068,1.2571769245969175,0.2180213267676595,0.20736275859899453,0.22985497185922119,0.6956579975476661,0.6827155654920486,0.7073364890644666,1.0,0.9944444444444445,0.005555555555555556,0.0,0.019583333333333206
pid_generic,0.35_vs_0.707,0.35,0.707,0.09,0.0081,3.4350077418248146,1.93477777483434,1.9015789841296518,1.9680025809990251,0.4067464955701404,0.4000583986304089,0.4134940672130236,0.43674718654156286,0.42597200556918496,0.4474840376657117,1.0,1.0,0.0,0.0,0.0
pid_generic,0.15_vs_0.707,0.15,0.707,0.095,0.009025,4.348871290837408,-1.02495707164422,-1.0976775874022173,-0.9565270515508222,-0.6017899014650498,-0.6279690785905411,-0.5778938341488586,1.2356834689046077,1.2197645439674405,1.2526467140845792,0.016666666666666666,0.0,0.016666666666666666,0.0,0.03888888888888889
pid_generic,0.25_vs_0.707,0.25,0.707,0.095,0.009025,3.9833533398263157,1.0967124176422427,1.0439246874783301,1.1502414005164825,0.17910471411957915,0.1683983965869836,0.18881603766833271,0.7246760896963107,0.7113051591548915,0.7374351037054315,0.9833333333333333,0.9833333333333333,0.016666666666666666,0.0,0.03888888888888889
pid_generic,0.35_vs_0.707,0.35,0.707,0.095,0.009025,3.4350077418248146,1.8398974246617426,1.7966351130957128,1.8867572062458684,0.37371353627869147,0.3661819415653947,0.38110189243212395,0.46436876917071684,0.45253539217594085,0.4764936286384315,1.0,1.0,0.0,0.0,0.0
pid_generic,0.15_vs_0.707,0.15,0.707,0.1,0.010000000000000002,4.348871290837408,-1.2707007312269172,-1.340062466932648,-1.1983926169659345,-0.6682617480157087,-0.6926663209519971,-0.6434738487169848,1.2921909263914393,1.2767486940666748,1.3083467531222632,0.005555555555555556,0.0,0.005555555555555556,0.0,0.016666666666666666
pid_generic,0.25_vs_0.707,0.25,0.707,0.1,0.010000000000000002,3.9833533398263157,0.9215353719937509,0.8662484629881222,0.9749559872143387,0.11953730393361142,0.1070567670519839,0.13176935204345952,0.76865336981782,0.7553042177275827,0.7830113693068257,0.9888888888888889,0.9277777777777778,0.07222222222222222,0.03888888888888889,0.1111111111111111
pid_generic,0.35_vs_0.707,0.35,0.707,0.1,0.010000000000000002,3.4350077418248146,1.7252780397683722,1.6800164402897215,1.7668243339422758,0.3305369815150652,0.3224294803894921,0.338581633507964,0.49773678272648253,0.48436331221662055,0.5100489135582921,1.0,1.0,0.0,0.0,0.0
pid_generic,0.15_vs_0.707,0.15,0.707,0.105,0.011024999999999998,4.348871290837408,-1.609749341906852,-1.6886154323001588,-1.532098624520978,-0.7791398450162611,-0.8064931150988204,-0.7518346676490332,1.370153364919862,1.350560780724047,1.388133206314681,0.0,0.0,0.0,0.0,0.0
pid_generic,0.25_vs_0.707,0.25,0.707,0.105,0.011024999999999998,3.9833533398263157,0.7181450991863275,0.66088695369645,0.7820184291680115,0.07150578522329985,0.057572644647899775,0.08531665919194335,0.819713432899317,0.8059728987596421,0.8337912012472902,0.9611111111111111,0.8111111111111111,0.16111111111111112,0.10819444444444445,0.20555555555555555
pid_generic,0.35_vs_0.707,0.35,0.707,0.105,0.011024999999999998,3.4350077418248146,1.5764895519858126,1.5327861521622057,1.6205721713072272,0.2938720029238916,0.28517167958834944,0.3029475849718974,0.5410521109485718,0.5285773576848386,0.5540027985957571,1.0,1.0,0.0,0.0,0.0
pid_generic,0.15_vs_0.707,0.15,0.707,0.11,0.0121,4.348871290837408,-1.90711468212915,-2.0054020867750304,-1.8187505819087046,-0.8714691475640403,-0.900828127901374,-0.8393508437279856,1.438530955410713,1.4201214439397083,1.4591438960267404,0.0,0.0,0.0,0.0,0.0
pid_generic,0.25_vs_0.707,0.25,0.707,0.11,0.0121,3.9833533398263157,0.5349169335280706,0.47524248244684714,0.5945518964875054,0.02758998362030111,0.014664300887937413,0.03992962990772896,0.8657119045453814,0.8501448309203826,0.879406187155047,0.9333333333333333,0.6,0.35,0.2833333333333333,0.4166666666666667
pid_generic,0.35_vs_0.707,0.35,0.707,0.11,0.0121,3.4350077418248146,1.4424335804645636,1.3963824876473168,1.4922207819142834,0.26236656355122717,0.2531644421548149,0.27035395719158345,0.5800785066940535,0.5667787106814945,0.5941607229508206,1.0,1.0,0.0,0.0,0.0
pid_generic,0.15_vs_0.707,0.15,0.707,0.115,0.013225,4.348871290837408,-2.131916524776849,-2.218545350111248,-2.0379256287562613,-0.9167073463396513,-0.9417291008878134,-0.8889681596906408,1.490222952624181,1.4701101522269568,1.5105324574022854,0.0,0.0,0.0,0.0,0.0
pid_generic,0.25_vs_0.707,0.25,0.707,0.115,0.013225,3.9833533398263157,0.32492915155001645,0.2620261880811373,0.38928504979548517,-0.016186388171533228,-0.0295617336923671,-0.0016304983409967436,0.9184282377610558,0.9025274739673574,0.9338137656210487,0.7888888888888889,0.46111111111111114,0.37777777777777777,0.3055555555555556,0.45
pid_generic,0.35_vs_0.707,0.35,0.707,0.115,0.013225,3.4350077418248146,1.2968298448547444,1.2446633190105487,1.350606271275365,0.23207253175136175,0.2211530770950564,0.24078396148324424,0.6224666893572077,0.606618257643948,0.6378056770178689,1.0,1.0,0.0,0.0,0.0
pid_generic,0.15_vs_0.707,0.15,0.707,0.12,0.0144,4.348871290837408,-2.432981213671935,-2.534040205778958,-2.33595901888449,-1.0204746135824416,-1.0516358608223142,-0.9892248063225569,1.5594511888171894,1.5381893750008906,1.584399376365235,0.0,0.0,0.0,0.0,0.0
pid_generic,0.25_vs_0.707,0.25,0.707,0.12,0.0144,3.9833533398263157,0.19559074516623742,0.13540032121391665,0.2663825422668801,-0.0741123642668124,-0.08974481286692462,-0.05934092988396343,0.9508979674962088,0.9372327845219888,0.9657850174956806,0.6722222222222223,0.24444444444444444,0.4777777777777778,0.40555555555555556,0.547361111111111
pid_generic,0.35_vs_0.707,0.35,0.707,0.12,0.0144,3.4350077418248146,1.228526509752352,1.1769040594724027,1.2796164298835147,0.19685506927098698,0.18759436786615521,0.20557962688131187,0.6423511671331171,0.6281304734368328,0.6565425339790719,1.0,1.0,0.0,0.0,0.0
pid_generic,0.15_vs_0.707,0.15,0.707,0.125,0.015625,4.348871290837408,-2.6425361973058465,-2.7356029972321254,-2.550505946519848,-1.0812929083292506,-1.1155758953476804,-1.0482999719388302,1.6076372512733077,1.589132721785624,1.6304239339948638,0.0,0.0,0.0,0.0,0.0
pid_generic,0.25_vs_0.707,0.25,0.707,0.125,0.015625,3.9833533398263157,0.055477059482500604,-0.014719514527779655,0.13083043257424976,-0.10599440134089452,-0.12059146290777756,-0.09094013544552138,0.9860727746826197,0.9672324364156076,1.0035350959030132,0.5666666666666667,0.1388888888888889,0.4388888888888889,0.37222222222222223,0.5084722222222221
pid_generic,0.35_vs_0.707,0.35,0.707,0.125,0.015625,3.4350077418248146,1.1466163479067977,1.0885777242810264,1.2046742370328418,0.17873150022930695,0.17016234977197162,0.18673473903307833,0.6661968664741149,0.6490183167420043,0.6840447915156003,0.9944444444444445,1.0,0.0,0.0,0.0
pid_generic,0.15_vs_0.707,0.15,0.707,0.13,0.016900000000000002,4.348871290837408,-3.018337413541113,-3.100852998864637,-2.937206621836341,-1.180751725108495,-1.2146396589563295,-1.1450906940643288,1.694050757469051,1.673844336811338,1.7149347903648804,0.0,0.0,0.0,0.0,0.0
pid_generic,0.25_vs_0.707,0.25,0.707,0.13,0.016900000000000002,3.9833533398263157,-0.14164722692975726,-0.21114170124263826,-0.07370863413400527,-0.13403089580993022,-0.150258636159438,-0.11947251211176992,1.0355597946869393,1.0164479510339992,1.0525220176267043,0.3888888888888889,0.1111111111111111,0.32222222222222224,0.25,0.39444444444444443
pid_generic,0.35_vs_0.707,0.35,0.707,0.13,0.016900000000000002,3.4350077418248146,0.9787245776994922,0.9225113608802908,1.0310876455982263,0.1506652149393385,0.14176392208376967,0.15862176504566056,0.7150735453133058,0.6985143898572618,0.7295112304474296,1.0,1.0,0.0,0.0,0.0
pid_generic,0.15_vs_0.707,0.15,0.707,0.135,0.018225,4.348871290837408,-3.3375481341124553,-3.4435224999291933,-3.235778584490117,-1.2609030174888771,-1.296063806479111,-1.2250028605896235,1.7674515778713205,1.746311297095356,1.7892365480224022,0.0,0.0,0.0,0.0,0.0
pid_generic,0.25_vs_0.707,0.25,0.707,0.135,0.018225,3.9833533398263157,-0.3348983838067691,-0.4074695917046894,-0.25948647852660256,-0.1717911616484023,-0.18976629229780706,-0.15602731054833816,1.0840744858002909,1.0644138510009071,1.1039731064964196,0.2833333333333333,0.06666666666666667,0.23333333333333334,0.17222222222222222,0.28888888888888886
pid_generic,0.35_vs_0.707,0.35,0.707,0.135,0.018225,3.4350077418248146,0.8410223186992097,0.7854388568645957,0.8945532673838589,0.12398285516448627,0.1151796789156234,0.13250248608912543,0.7551614488494793,0.7376295073862479,0.7734615862457688,0.9722222222222222,0.9722222222222222,0.016666666666666666,0.0,0.03624999999999987
pid_generic,0.15_vs_0.707,0.15,0.707,0.14,0.019600000000000003,4.348871290837408,-3.540560600318574,-3.644134150093672,-3.4455840274200633,-1.3263081422484704,-1.3609646920394283,-1.2967660412036497,1.8141332229763028,1.793047569161676,1.8358723526488496,0.0,0.0,0.0,0.0,0.0
pid_generic,0.25_vs_0.707,0.25,0.707,0.14,0.019600000000000003,3.9833533398263157,-0.4606890918606854,-0.52817304921915,-0.39000533715239594,-0.21131335049258942,-0.22715318050926583,-0.19523769893449403,1.115653584444701,1.0983203252672422,1.133552302822369,0.17222222222222222,0.022222222222222223,0.17222222222222222,0.12222222222222222,0.22777777777777777
pid_generic,0.35_vs_0.707,0.35,0.707,0.14,0.019600000000000003,3.4350077418248146,0.7376259340644372,0.6698651722442949,0.7935735405351638,0.10205785939500514,0.09256381955902994,0.1112491180801061,0.7852622207853946,0.7678007509715359,0.8015516282692269,0.9666666666666667,0.9166666666666666,0.07222222222222222,0.030416666666666675,0.10555555555555556
pid_generic,0.15_vs_0.707,0.15,0.707,0.15,0.0225,4.348871290837408,-4.098143649519861,-4.224357535371921,-3.987441387202628,-1.5080060484441422,-1.5475614560036859,-1.467525345527426,1.9423465022186779,1.9175112283461861,1.966841167398207,0.0,0.0,0.0,0.0,0.0
pid_generic,0.25_vs_0.707,0.25,0.707,0.15,0.0225,3.9833533398263157,-0.7331115181965537,-0.8084032994236582,-0.6603833566680026,-0.2871584355057488,-0.3050442367530471,-0.26903484347865925,1.1840438082323168,1.1659754216070621,1.203636657704925,0.1,0.005555555555555556,0.1,0.05819444444444445,0.1388888888888889
pid_generic,0.35_vs_0.707,0.35,0.707,0.15,0.0225,3.4350077418248146,0.5956189268320718,0.537875478445235,0.6489798454724306,0.04971410185568891,0.03968958833285581,0.059855902814310864,0.8266033233113894,0.8092990765649103,0.845648457670296,0.9111111111111111,0.7111111111111111,0.2611111111111111,0.19708333333333336,0.32222222222222224
pid_generic,0.15_vs_0.707,0.15,0.707,0.16,0.0256,4.348871290837408,-4.613618962273144,-4.72736660668053,-4.5022258164364235,-1.6249413065038658,-1.6640851339840956,-1.5855785234998154,2.060877329709326,2.0379035246979202,2.0864754166129735,0.0,0.0,0.0,0.0,0.0
pid_generic,0.25_vs_0.707,0.25,0.707,0.16,0.0256,3.9833533398263157,-1.08361824806226,-1.175122025956836,-0.9940984726629755,-0.3446183847308291,-0.3625770600605294,-0.3257797994598551,1.2720366875888314,1.2471317425900037,1.2945783882207493,0.011111111111111112,0.005555555555555556,0.011111111111111112,0.0,0.027777777777777776
pid_generic,0.35_vs_0.707,0.35,0.707,0.16,0.0256,3.4350077418248146,0.3241407249277378,0.2547374408259423,0.39231646936710013,0.011843509132886926,0.0016442865337080667,0.022603414964704843,0.905636100617479,0.8852445241560623,0.9242454106910901,0.7611111111111111,0.5833333333333334,0.2777777777777778,0.2111111111111111,0.35
