pair_name,family_slug,left_zeta,right_zeta,noise_std,noise_power,trial_index,clean_advantage_iae,clean_advantage_ise,true_gap_iae,observed_gap_iae,true_gap_ise,pairwise_excess_gap_iae,parity_ratio_iae,left_occupancy_proxy_l2,right_occupancy_proxy_l2,true_winner_left,observed_winner_left,inversion_event
0.15_vs_0.707,missile_guidance,0.15,0.707,0.13,0.016900000000000002,27,4.838970008435965,0.18978512183501556,-2.2776983636640455,-0.8291861989141012,-0.37471654820966893,7.11666837210001,1.4706990040635188,0.05952987117265559,0.005289933325424481,0,0,0
0.25_vs_0.707,missile_guidance,0.25,0.707,0.13,0.016900000000000002,27,4.428840851187814,0.18644033118928185,0.23230840211273573,-0.04275485467705309,-0.037312729807918193,4.196532449075078,0.9475464551745113,0.023321514967021582,0.005289933325424481,1,0,1
0.35_vs_0.707,missile_guidance,0.35,0.707,0.13,0.016900000000000002,27,3.826228841547988,0.1769948507873902,1.3906940497282871,0.17949485312770364,0.07797860997741621,2.435534791819701,0.6365366246192294,0.013273226714976301,0.005289933325424481,1,1,0
0.15_vs_0.707,missile_guidance,0.15,0.707,0.13,0.016900000000000002,28,4.838970008435965,0.18978512183501556,-0.745310908573213,-0.17146096005029676,-0.129944892912771,5.584280917009178,1.1540226344188709,0.05952987117265559,0.005289933325424481,0,0,0
0.25_vs_0.707,missile_guidance,0.25,0.707,0.13,0.016900000000000002,28,4.428840851187814,0.18644033118928185,0.8548051344828957,0.31962664323622647,0.032386104724731524,3.574035716704918,0.8069912279070409,0.023321514967021582,0.005289933325424481,1,1,0
0.35_vs_0.707,missile_guidance,0.35,0.707,0.13,0.016900000000000002,28,3.826228841547988,0.1769948507873902,1.8737013061810055,0.44778879953564044,0.10224530268603488,1.9525275353669829,0.5103007729608361,0.013273226714976301,0.005289933325424481,1,1,0
0.15_vs_0.707,missile_guidance,0.15,0.707,0.13,0.016900000000000002,29,4.838970008435965,0.18978512183501556,-0.5256035670255175,-0.37791584534949685,-0.133084472832656,5.364573575461482,1.1086188932994443,0.05952987117265559,0.005289933325424481,0,0,0
0.25_vs_0.707,missile_guidance,0.25,0.707,0.13,0.016900000000000002,29,4.428840851187814,0.18644033118928185,1.307862725191585,0.2535282218666808,0.07994614844622688,3.1209781259962286,0.7046941244590407,0.023321514967021582,0.005289933325424481,1,1,0
0.35_vs_0.707,missile_guidance,0.35,0.707,0.13,0.016900000000000002,29,3.826228841547988,0.1769948507873902,2.09928781057295,0.4872528409684165,0.14066603405875505,1.7269410309750384,0.451342850229618,0.013273226714976301,0.005289933325424481,1,1,0
0.15_vs_0.707,missile_guidance,0.15,0.707,0.13,0.016900000000000002,30,4.838970008435965,0.18978512183501556,-1.7595783709309565,-0.7067136876714475,-0.3064918599378426,6.598548379366921,1.363626632912255,0.05952987117265559,0.005289933325424481,0,0,0
0.25_vs_0.707,missile_guidance,0.25,0.707,0.13,0.016900000000000002,30,4.428840851187814,0.18644033118928185,0.9976534444625855,0.2599695789411207,0.04076869894627394,3.431187406725228,0.7747371201665522,0.023321514967021582,0.005289933325424481,1,1,0
0.35_vs_0.707,missile_guidance,0.35,0.707,0.13,0.016900000000000002,30,3.826228841547988,0.1769948507873902,1.7491429630036346,0.41434641890890944,0.10015695657460505,2.077085878544354,0.5428545872609182,0.013273226714976301,0.005289933325424481,1,1,0
0.15_vs_0.707,missile_guidance,0.15,0.707,0.13,0.016900000000000002,31,4.838970008435965,0.18978512183501556,-1.6868101689219195,-0.6769245831072102,-0.24379550950081388,6.525780177357884,1.3485886802317926,0.05952987117265559,0.005289933325424481,0,0,0
0.25_vs_0.707,missile_guidance,0.25,0.707,0.13,0.016900000000000002,31,4.428840851187814,0.18644033118928185,0.9574190571943095,0.30756764396615566,0.04297929382095356,3.471421793993504,0.7838217517033763,0.023321514967021582,0.005289933325424481,1,1,0
0.35_vs_0.707,missile_guidance,0.35,0.707,0.13,0.016900000000000002,31,3.826228841547988,0.1769948507873902,1.802488761940757,0.46972266770341164,0.10191181965140081,2.023740079607231,0.5289124522903551,0.013273226714976301,0.005289933325424481,1,1,0
0.15_vs_0.707,missile_guidance,0.15,0.707,0.13,0.016900000000000002,32,4.838970008435965,0.18978512183501556,-0.9499778467674798,-0.949102511335127,-0.23666562674181624,5.788947855203444,1.1963181927375757,0.05952987117265559,0.005289933325424481,0,0,0
0.25_vs_0.707,missile_guidance,0.25,0.707,0.13,0.016900000000000002,32,4.428840851187814,0.18644033118928185,1.8700873935151607,0.204680908012282,0.1129887019073742,2.558753457672653,0.5777478901700421,0.023321514967021582,0.005289933325424481,1,1,0
0.35_vs_0.707,missile_guidance,0.35,0.707,0.13,0.016900000000000002,32,3.826228841547988,0.1769948507873902,2.3745960745251007,0.38372137345051094,0.15700131368273862,1.451632767022888,0.379389949513735,0.013273226714976301,0.005289933325424481,1,1,0
0.15_vs_0.707,missile_guidance,0.15,0.707,0.13,0.016900000000000002,33,4.838970008435965,0.18978512183501556,-1.940583341403281,-0.7590446807069888,-0.312350720545155,6.7795533498392455,1.4010323143189949,0.05952987117265559,0.005289933325424481,0,0,0
0.25_vs_0.707,missile_guidance,0.25,0.707,0.13,0.016900000000000002,33,4.428840851187814,0.18644033118928185,1.0387128975597433,0.24025004322191634,0.03369877759398643,3.3901279536280704,0.7654661947761883,0.023321514967021582,0.005289933325424481,1,1,0
0.35_vs_0.707,missile_guidance,0.35,0.707,0.13,0.016900000000000002,33,3.826228841547988,0.1769948507873902,1.8527251662182431,0.4045559034084363,0.09433673248550434,1.9735036753297452,0.5157829698788532,0.013273226714976301,0.005289933325424481,1,1,0
