batch_name,sample_index,zeta,wn_scale,wn,noise_std,iae,ise,peak_abs_error,mean_abs_error,shadow_horizon_eps_0_02,shadow_mass_l1,slow_band_deficit_0_05,step_settling_time_2pct
wide_jitter_noisy,2,0.15,0.9085466078643637,0.9085466078643637,0.08,9.802875580103922,0.9973469629570253,0.36198003409654556,0.06535419752871797,30.04125515689461,4.275225433072983,4.603795119049618e-06,28.466058257282157
wide_jitter_noisy,3,0.15,0.9765651621590241,0.9765651621590241,0.08,9.680496846336307,0.9793022682701574,0.3733797155148735,0.0645345860250863,27.940992624078007,4.27522675047259,3.972419814361599e-06,26.47830978872359
wide_jitter_noisy,4,0.15,0.8891394330631582,0.8891394330631582,0.08,9.750093987611647,0.9998269766891588,0.310729558402854,0.06499893139078995,30.6975871983998,4.275241983840863,4.8118723062333616e-06,29.084885610701335
wide_jitter_noisy,5,0.15,1.162598089010782,1.162598089010782,0.08,9.919033998076289,1.0389322822152254,0.343406902332938,0.06613196319701115,23.477934741842727,4.275227967490667,2.786291677739123e-06,22.240280035004375
wide_jitter_noisy,6,0.15,0.8171486375964852,0.8171486375964852,0.08,9.683236777852523,0.9855257268137867,0.3292622104951164,0.06455416318370688,33.39792474059257,4.27524369233298,5.7224010549042655e-06,31.65395674459307
wide_jitter_noisy,7,0.15,1.1602091855264784,1.1602091855264784,0.08,9.796096632326657,1.0053644591827429,0.3043888986750214,0.0653006379418854,23.51543942992874,4.275164048115244,2.797941591550782e-06,22.277784723090384
wide_jitter_noisy,8,0.15,0.9858837222159293,0.9858837222159293,0.08,9.749342081282926,0.9994903162127855,0.31647675982765655,0.06499836277528243,27.67845980747593,4.275225917973582,3.896208200489064e-06,26.23452931616452
wide_jitter_noisy,9,0.15,0.8719921893761239,0.8719921893761239,0.08,9.76645858981669,0.9962622204107601,0.31708013935780177,0.0651105277721512,31.297662207775968,4.275239349353413,5.007777833405804e-06,29.647455931991498
wide_jitter_noisy,10,0.15,0.8398180580617994,0.8398180580617994,0.08,9.75282604474856,0.995533027938472,0.3314532293019643,0.06502607709649605,32.49781222652831,4.275241527993607,5.409414615578977e-06,30.791348918614826
wide_jitter_noisy,11,0.15,0.9669081930290331,0.9669081930290331,0.08,9.8511145893557,1.010199812359026,0.32853770123966086,0.06567846985415558,28.222277784723087,4.275236117354423,4.05379796916634e-06,26.740842605325664
wide_jitter_noisy,12,0.15,0.8414230194151553,0.8414230194151553,0.08,9.874142525678787,1.0184694049774077,0.329008198895,0.06583273728722867,32.4415551943993,4.275243643571916,5.388243187919637e-06,30.735091886485808
