batch_name,zeta,sample_count,iae_mean,iae_std,iae_p10,iae_median,iae_p90,shadow_mass_l1_mean,shadow_mass_l1_std
wn_jitter_clean,0.2,30,1.7568219506022298,0.08325825609792636,1.6502595771607627,1.751589558927428,1.8609312661958315,3.2249147977258557,1.6824969565961033e-05
wn_jitter_clean,0.25,30,2.237219087337133,0.13086899059516355,2.088545588144884,2.2271043896401137,2.419506400230496,2.599316223051603,1.879599033813704e-05
wn_jitter_clean,0.3,30,2.680542116555185,0.13865588237634607,2.5027908750549908,2.7053824927892496,2.859360551819877,2.1863396878365395,1.0187185139610535e-05
wn_jitter_clean,0.35,30,3.135620697890084,0.16944084162506584,2.9533803208372857,3.0940242451300635,3.3662534734551857,1.8951215163683168,9.218967153800403e-06
wn_jitter_clean,0.4,30,3.552587522867166,0.2335811756701957,3.257967996072746,3.5457955366996914,3.8369391374811066,1.680310681039503,1.0326248191184263e-05
wn_jitter_clean,0.45,30,3.991590269476849,0.23838475537151796,3.6936675614220813,3.9562990773232563,4.363065537347034,1.5167902990112183,5.371289876078666e-06
wn_jitter_clean,0.5,30,4.51373958399753,0.24750403421410236,4.17944659987945,4.510073292850073,4.855126630430604,1.389551698930725,5.37808011104381e-06
wn_jitter_clean,0.55,30,4.903551376148653,0.2636082147578071,4.567659830217946,4.900980387540217,5.332400709787393,1.2891499083347895,5.175882082339536e-06
wn_jitter_clean,0.6,30,5.27108257447493,0.33718346784565806,4.907431461213732,5.224358048911288,5.7360419499735995,1.209378318084111,4.75711687744409e-06
wn_jitter_clean,0.65,30,5.811438865322663,0.3448978237747636,5.385713314892371,5.837797447522808,6.275787682774499,1.1460703133142398,3.495088234987806e-06
wn_jitter_clean,0.7,30,6.281641681111222,0.3250766864398257,5.816859841155796,6.340650452626902,6.643030467904806,1.0963804688962646,3.3995999169267114e-06
wn_jitter_clean,0.707,30,6.187166575030189,0.3639086827009648,5.761952535003501,6.0796899886628495,6.703702750789591,1.0903907723687287,3.3547950372260017e-06
wn_jitter_clean,0.75,30,6.5463450212941146,0.430163531951116,6.102883534853811,6.3997099017143295,7.170788202205981,1.0583779812334808,3.881950618156997e-06
wn_jitter_clean,0.8,30,7.1112962597250675,0.3742161899348071,6.676489388860416,7.027584856251288,7.663413975777547,1.030767271705278,3.0154223390934483e-06
wn_jitter_clean,0.85,30,7.429996849714771,0.45991779531384097,6.88127254901912,7.441536959421184,7.989996138657974,1.0126246057560075,3.714941606100896e-06
wn_jitter_clean,0.9,30,7.8349502343001465,0.4156445700948205,7.355902803836211,7.830045385144701,8.486659361073674,1.003021935868376,3.130074512734609e-06
wn_jitter_clean,0.95,30,8.226081782055681,0.42782010693697087,7.665970620395106,8.15402970319495,8.84819618760469,1.0001107564892222,3.0537073365310173e-06
wn_jitter_clean,1.0,30,8.850858806012857,0.4354764557668492,8.255626411979964,8.800122213486116,9.412586326747151,0.9999708623960143,2.9071148331811024e-06
wn_jitter_noisy,0.1,30,4.990003587134123,0.06304535410519313,4.914313205803328,4.993608623636805,5.057105426153723,6.386786235027657,3.8037573975632216e-05
wn_jitter_noisy,0.15,30,4.996050218672435,0.05383917085362655,4.939685750054188,4.995129727684972,5.082176352209612,4.275214974730649,3.663698672407363e-05
wn_jitter_noisy,0.2,30,5.071191154234046,0.046013523565715635,5.0015072257829125,5.081421385700356,5.117273148412007,3.224915220009862,1.4182359643565407e-05
wn_jitter_noisy,0.25,30,5.160473667709664,0.0402810745401049,5.119026762921004,5.156883514343481,5.222401595656662,2.5993214183345685,1.4315325281149177e-05
wn_jitter_noisy,0.3,30,5.299102787828179,0.05831802446933796,5.23466478585264,5.290216936568726,5.36725124848453,2.1863378067607995,1.2035087769649502e-05
wn_jitter_noisy,0.35,30,5.4993072683761985,0.05471927074479136,5.421586006100794,5.513615053033619,5.5602114946135615,1.8951229791898823,6.993038489920725e-06
wn_jitter_noisy,0.4,30,5.631620273540009,0.08436794801993888,5.543474586402959,5.628108556613443,5.743954216935025,1.68030763804558,1.0767641406326354e-05
wn_jitter_noisy,0.45,30,5.838315523596301,0.12990528666318887,5.677387714788732,5.857126887854385,6.0083938288716645,1.5167881968425554,6.459392256410142e-06
wn_jitter_noisy,0.5,30,6.073123828193398,0.13941866666852376,5.8929499229483255,6.060458060730314,6.270389828892625,1.3895523186146115,6.206037745955637e-06
wn_jitter_noisy,0.55,30,6.359505648357475,0.15147952784403207,6.1650742076560165,6.35852436014139,6.532552981420711,1.289149089397587,5.21937156576099e-06
wn_jitter_noisy,0.6,30,6.530776804476407,0.16790332233603636,6.359243955759345,6.486303638024758,6.853979946080275,1.2093783650938343,3.811689431132179e-06
wn_jitter_noisy,0.65,30,6.824599050485506,0.19998597725295503,6.613353912529165,6.801183810495292,7.066276976267229,1.1460692212063845,3.6555478206426704e-06
wn_jitter_noisy,0.7,30,7.109345729584061,0.2706555594204793,6.830578656596794,7.006380104965892,7.469903320219658,1.0963792132294643,4.0705265196388e-06
wn_jitter_noisy,0.707,30,7.178226323473584,0.2552501178588694,6.911440623417506,7.095855759563495,7.611377834222514,1.0903910519328923,3.6520861668544514e-06
wn_jitter_noisy,0.75,30,7.574100941558844,0.31875942990657724,7.077142976716098,7.555819848704436,7.950161967683392,1.0583794372992708,3.7906552512862852e-06
wn_jitter_noisy,0.8,30,7.754294418090657,0.28406024221782394,7.423795488676894,7.702329060610354,8.104857134041099,1.0307661015222744,3.207282094934801e-06
wn_jitter_noisy,0.85,30,8.167408785019889,0.31956780344792235,7.79885657567413,8.119042718403444,8.64689058180769,1.0126255372556414,3.0798312472482705e-06
wn_jitter_noisy,0.9,30,8.410173220358883,0.3370428926576431,8.013587227494073,8.351217827068274,8.88786655620705,1.0030218532434187,3.1990446394432363e-06
wn_jitter_noisy,0.95,30,9.044462921395546,0.38549173057984176,8.52106826081408,8.9676100149356,9.540855810569358,1.0001133177005441,3.026167134588174e-06
wn_jitter_noisy,1.0,30,9.199905512523904,0.4617508799003593,8.652877020724075,9.071861901491655,9.802006419625828,0.9999702312147466,3.614894371281551e-06
