t,reference,input_used,y_zeta_0_25,err_signed_zeta_0_25,err_abs_zeta_0_25,cum_iae_zeta_0_25,y_zeta_0_707,err_signed_zeta_0_707,err_abs_zeta_0_707,cum_iae_zeta_0_707
81.01012626578321,0.7243891387437257,0.7243891387437257,0.7205967107011169,-0.0037924280426088197,0.0037924280426088197,0.36797522012203016,0.7135206965688264,-0.01086844217489924,0.01086844217489924,1.0166366428196154
81.02887860982622,0.7245326523941493,0.7245326523941493,0.7207406660199618,-0.0037919863741875393,0.0037919863741875393,0.3680463328962844,0.7136654304580342,-0.010867221936115112,0.010867221936115112,1.016840440145322
81.04763095386923,0.7246761497385119,0.7246761497385119,0.7208846051180874,-0.003791544620424525,0.003791544620424525,0.3681174373874203,0.7138101482857547,-0.010866001452757179,0.010866001452757179,1.0170442145863978
81.06638329791224,0.7248196307735842,0.7248196307735842,0.7210285279922538,-0.0037911027813304354,0.0037911027813304354,0.3681885335938376,0.7139548500487309,-0.010864780724853307,0.010864780724853307,1.017247966138257
81.08513564195523,0.7249630954961369,0.7249630954961369,0.7211724346392223,-0.003790660856914596,0.003790660856914596,0.3682596215139361,0.7140995357437063,-0.010863559752430585,0.010863559752430585,1.0174516947963137
81.10388798599824,0.7251065439029413,0.7251065439029413,0.7213163250557539,-0.003790218847187332,0.003790218847187332,0.3683307011461161,0.7142442053674247,-0.010862338535516547,0.010862338535516547,1.0176554005559832
81.12264033004125,0.7252499759907691,0.7252499759907691,0.7214601992386102,-0.0037897767521589687,0.0037897767521589687,0.3684017724887778,0.7143888589166301,-0.01086111707413906,0.01086111707413906,1.0178590834126808
81.14139267408426,0.725393391756392,0.725393391756392,0.7216040571845529,-0.0037893345718390536,0.0037893345718390536,0.36847283554032173,0.7145334963880668,-0.010859895368325101,0.010859895368325101,1.0180627433618226
81.16014501812725,0.7255367911965825,0.7255367911965825,0.7217478988903444,-0.003788892306238134,0.003788892306238134,0.3685438902991485,0.7146781177784801,-0.010858673418102427,0.010858673418102427,1.0182663803988248
81.17889736217026,0.7256801743081135,0.7256801743081135,0.7218917243527474,-0.003788449955366091,0.003788449955366091,0.36861493676365914,0.7148227230846149,-0.010857451223498571,0.010857451223498571,1.018469994519105
81.19764970621327,0.7258235410877578,0.7258235410877578,0.7220355335685248,-0.0037880075192330276,0.0037880075192330276,0.3686859749322546,0.7149673123032169,-0.010856228784540956,0.010856228784540956,1.0186735857180802
81.21640205025628,0.7259668915322891,0.7259668915322891,0.7221793265344402,-0.0037875649978489356,0.0037875649978489356,0.3687570048033361,0.7151118854310319,-0.010855006101257225,0.010855006101257225,1.0188771539911687
81.23515439429929,0.7261102256384808,0.7261102256384808,0.7223231032472571,-0.003787122391223696,0.003787122391223696,0.3688280263753052,0.7152564424648061,-0.010853783173674691,0.010853783173674691,1.019080699333789
81.25390673834228,0.7262535434031073,0.7262535434031073,0.7224668637037399,-0.0037866796993674123,0.0037866796993674123,0.36889903964656334,0.7154009834012865,-0.010852560001820777,0.010852560001820777,1.0192842217413602
81.27265908238529,0.7263968448229433,0.7263968448229433,0.722610607900653,-0.003786236922290298,0.003786236922290298,0.3689700446155125,0.71554550823722,-0.010851336585723348,0.010851336585723348,1.019487721209302
81.2914114264283,0.7265401298947637,0.7265401298947637,0.7227543358347611,-0.0037857940600025675,0.0037857940600025675,0.36904104128055465,0.7156900169693537,-0.010850112925409938,0.010850112925409938,1.0196911977330345
81.3101637704713,0.7266833986153435,0.7266833986153435,0.7228980475028297,-0.0037853511125137684,0.0037853511125137684,0.36911202964009193,0.7158345095944356,-0.01084888902090786,0.01084888902090786,1.019894651307978
81.32891611451431,0.7268266509814584,0.7268266509814584,0.723041742901624,-0.003784908079834337,0.003784908079834337,0.36918300969252676,0.7159789861092137,-0.010847664872244644,0.010847664872244644,1.0200980819295542
81.34766845855731,0.7269698869898846,0.7269698869898846,0.7231854220279105,-0.0037844649619741544,0.0037844649619741544,0.36925398143626165,0.7161234465104366,-0.01084644047944805,0.01084644047944805,1.0203014895931841
81.36642080260032,0.7271131066373985,0.7271131066373985,0.7233290848784549,-0.0037840217589435454,0.0037840217589435454,0.36932494486969947,0.7162678907948529,-0.010845215842545608,0.010845215842545608,1.0205048742942904
81.38517314664333,0.7272563099207766,0.7272563099207766,0.7234727314500243,-0.00378357847075228,0.00378357847075228,0.36939589999124306,0.716412318959212,-0.010843990961564631,0.010843990961564631,1.0207082360282957
