environment_name,mode,level,trial_index,zeta,noise_std,wn_scale,wn,shadow_mass_l2,occupancy_proxy_l2,true_iae,excess_true_iae_over_clean
command_heavy,command,heavy,17,0.15,0.1,0.9201710499969527,0.9201710499969527,1.5336184166615878,0.015336184166615882,3.249408025649145,1.8848086976040535
command_heavy,command,heavy,18,0.15,0.1,0.912054070836838,0.912054070836838,1.5200901180613966,0.01520090118061397,3.574737640346137,2.210138312301045
command_heavy,command,heavy,19,0.15,0.1,1.0744080599120518,1.0744080599120518,1.7906800998534198,0.0179068009985342,3.9900807514975636,2.625481423452472
command_heavy,command,heavy,20,0.15,0.1,1.0369138497810126,1.0369138497810126,1.7281897496350211,0.017281897496350215,4.264600456331574,2.9000011282864824
command_heavy,command,heavy,21,0.15,0.1,0.946654957457575,0.946654957457575,1.5777582624292916,0.015777582624292918,3.8773988347730195,2.5127995067279283
command_heavy,command,heavy,22,0.15,0.1,1.018154696174685,1.018154696174685,1.6969244936244752,0.016969244936244757,3.789388901684821,2.424789573639729
command_heavy,command,heavy,23,0.15,0.1,0.904964696596583,0.904964696596583,1.5082744943276383,0.015082744943276386,3.7534733062170775,2.3888739781719863
command_heavy,command,heavy,24,0.15,0.1,0.9333711225385882,0.9333711225385882,1.5556185375643137,0.01555618537564314,3.77460183176941,2.4100025037243187
command_heavy,command,heavy,25,0.15,0.1,1.0142057077310387,1.0142057077310387,1.6903428462183978,0.01690342846218398,5.744188826420819,4.3795894983757275
command_heavy,command,heavy,26,0.15,0.1,1.0143145466455465,1.0143145466455465,1.6905242444092443,0.016905242444092448,3.555840954460484,2.191241626415392
command_heavy,command,heavy,27,0.15,0.1,0.8399515510963838,0.8399515510963838,1.3999192518273063,0.013999192518273066,3.573561966498353,2.2089626384532615
command_heavy,command,heavy,28,0.15,0.1,1.0728618707742439,1.0728618707742439,1.7881031179570732,0.017881031179570735,4.141301105172722,2.7767017771276308
command_heavy,command,heavy,29,0.15,0.1,0.8699487790279218,0.8699487790279218,1.449914631713203,0.014499146317132033,3.416583278741261,2.0519839506961697
command_heavy,command,heavy,30,0.15,0.1,0.9578535537851748,0.9578535537851748,1.596422589641958,0.015964225896419583,3.985831171255525,2.621231843210434
command_heavy,command,heavy,31,0.15,0.1,1.025408951308137,1.025408951308137,1.709014918846895,0.017090149188468955,4.179849044316737,2.815249716271645
command_heavy,command,heavy,32,0.15,0.1,1.1848889805034022,1.1848889805034022,1.9748149675056703,0.019748149675056708,4.8399038520601465,3.475304524015055
command_heavy,command,heavy,33,0.15,0.1,0.9341385635033297,0.9341385635033297,1.5568976058388828,0.015568976058388832,3.477961245041254,2.113361916996163
command_heavy,command,heavy,34,0.15,0.1,1.1750534666262624,1.1750534666262624,1.958422444377104,0.019584224443771045,4.003826921629651,2.6392275935845593
command_heavy,command,heavy,35,0.15,0.1,1.130556626524359,1.130556626524359,1.884261044207265,0.018842610442072652,4.081756372493672,2.71715704444858
command_heavy,command,heavy,36,0.15,0.1,0.8051902936829737,0.8051902936829737,1.341983822804956,0.013419838228049564,4.322200806069105,2.9576014780240136
command_heavy,command,heavy,37,0.15,0.1,1.0362696623883376,1.0362696623883376,1.7271161039805627,0.01727116103980563,4.582496749263981,3.2178974212188898
command_heavy,command,heavy,38,0.15,0.1,0.9232992639800265,0.9232992639800265,1.5388321066333774,0.015388321066333777,4.2925649701627595,2.927965642117668
command_heavy,command,heavy,39,0.15,0.1,1.1894409739914156,1.1894409739914156,1.982401623319026,0.019824016233190266,4.274273005288576,2.909673677243484
command_heavy,command,heavy,0,0.2,0.1,0.8312967863557789,0.8312967863557789,1.0391209829447234,0.010391209829447237,2.956052965933458,1.1639136119982525
command_heavy,command,heavy,1,0.2,0.1,0.8918322388908144,0.8918322388908144,1.1147902986135179,0.01114790298613518,2.905698657003776,1.1135593030685706
command_heavy,command,heavy,2,0.2,0.1,1.0329787457064934,1.0329787457064934,1.2912234321331166,0.012912234321331168,3.1524985427286594,1.360359188793454
command_heavy,command,heavy,3,0.2,0.1,1.0124440885272084,1.0124440885272084,1.2655551106590104,0.012655551106590106,3.427076943922639,1.6349375899874339
command_heavy,command,heavy,4,0.2,0.1,0.8820016615502294,0.8820016615502294,1.1025020769377867,0.011025020769377869,3.45840410864069,1.6662647547054847
command_heavy,command,heavy,5,0.2,0.1,0.8469160480934135,0.8469160480934135,1.0586450601167667,0.01058645060116767,3.596744963350744,1.8046056094155385
command_heavy,command,heavy,6,0.2,0.1,1.138954279041918,1.138954279041918,1.4236928488023974,0.014236928488023977,3.9890200056458305,2.196880651710625
command_heavy,command,heavy,7,0.2,0.1,0.8287151970416148,0.8287151970416148,1.0358939963020184,0.010358939963020185,3.777013633267691,1.9848742793324856
command_heavy,command,heavy,8,0.2,0.1,0.9568498901396411,0.9568498901396411,1.1960623626745512,0.011960623626745515,3.3939292799664416,1.6017899260312363
command_heavy,command,heavy,9,0.2,0.1,1.093261399667917,1.093261399667917,1.3665767495848962,0.013665767495848965,3.897229127542506,2.105089773607301
command_heavy,command,heavy,10,0.2,0.1,1.109639402503062,1.109639402503062,1.3870492531288274,0.013870492531288277,4.2062729938237595,2.4141336398885542
command_heavy,command,heavy,11,0.2,0.1,1.053676156202911,1.053676156202911,1.3170951952536387,0.01317095195253639,4.204774431219301,2.4126350772840954
command_heavy,command,heavy,12,0.2,0.1,0.9317517826662935,0.9317517826662935,1.1646897283328668,0.01164689728332867,3.588100038463515,1.7959606845283096
command_heavy,command,heavy,13,0.2,0.1,1.0840473805126742,1.0840473805126742,1.3550592256408427,0.01355059225640843,3.0028045672587007,1.2106652133234954
command_heavy,command,heavy,14,0.2,0.1,1.1341569793502266,1.1341569793502266,1.4176962241877833,0.014176962241877835,3.8487601016758335,2.056620747740628
command_heavy,command,heavy,15,0.2,0.1,0.9981318152040917,0.9981318152040917,1.2476647690051146,0.012476647690051149,3.8328804463771333,2.040741092441928
command_heavy,command,heavy,16,0.2,0.1,0.9411390629417312,0.9411390629417312,1.176423828677164,0.011764238286771643,3.1164312665136764,1.3242919125784711
command_heavy,command,heavy,17,0.2,0.1,0.8673545917883024,0.8673545917883024,1.084193239735378,0.010841932397353782,3.440356235886646,1.648216881951441
command_heavy,command,heavy,18,0.2,0.1,0.9610346091325166,0.9610346091325166,1.2012932614156457,0.01201293261415646,3.8056929258918197,2.0135535719566144
command_heavy,command,heavy,19,0.2,0.1,0.8714414308397379,0.8714414308397379,1.0893017885496723,0.010893017885496726,3.5632931883303693,1.771153834395164
command_heavy,command,heavy,20,0.2,0.1,1.19773693006354,1.19773693006354,1.497171162579425,0.014971711625794254,3.879346130976371,2.0872067770411658
command_heavy,command,heavy,21,0.2,0.1,0.9704742172667318,0.9704742172667318,1.2130927715834146,0.012130927715834149,3.6958000921964698,1.9036607382612645
command_heavy,command,heavy,22,0.2,0.1,1.0814432301145789,1.0814432301145789,1.3518040376432234,0.013518040376432236,3.9330522139755115,2.1409128600403062
command_heavy,command,heavy,23,0.2,0.1,0.8945388882736752,0.8945388882736752,1.118173610342094,0.011181736103420943,3.6043293184080456,1.8121899644728403
command_heavy,command,heavy,24,0.2,0.1,0.8390357225350168,0.8390357225350168,1.0487946531687709,0.010487946531687711,3.1842619113279858,1.3921225573927805
command_heavy,command,heavy,25,0.2,0.1,0.8959576956967547,0.8959576956967547,1.1199471196209432,0.011199471196209433,3.236798886287744,1.4446595323525386
command_heavy,command,heavy,26,0.2,0.1,0.927580183167766,0.927580183167766,1.1594752289597074,0.011594752289597077,3.8689592813964344,2.076819927461229
command_heavy,command,heavy,27,0.2,0.1,0.9271714233351808,0.9271714233351808,1.1589642791689758,0.01158964279168976,3.796609292359955,2.0044699384247497
command_heavy,command,heavy,28,0.2,0.1,0.8356926290459357,0.8356926290459357,1.0446157863074195,0.010446157863074196,2.8090413139950363,1.016901960059831
command_heavy,command,heavy,29,0.2,0.1,0.9949264022280125,0.9949264022280125,1.2436580027850157,0.012436580027850159,3.4416715195174152,1.64953216558221
command_heavy,command,heavy,30,0.2,0.1,0.8488427293127637,0.8488427293127637,1.0610534116409547,0.010610534116409548,3.4036561774248626,1.6115168234896573
command_heavy,command,heavy,31,0.2,0.1,1.1781178468964073,1.1781178468964073,1.472647308620509,0.014726473086205092,3.8453223417166873,2.053182987781482
command_heavy,command,heavy,32,0.2,0.1,0.9406552192808838,0.9406552192808838,1.1758190241011046,0.011758190241011048,4.045712736374802,2.2535733824395967
