environment_name,mode,level,zeta,noise_std,gust_std,mean_true_iae,std_true_iae,p10_true_iae,median_true_iae,p90_true_iae,ci_true_iae_low,ci_true_iae_high,mean_true_ise,mean_peak_abs_error,mean_abs_error,mean_excess_true_iae_over_clean,mean_shadow_mass_l2_trial,mean_occupancy_proxy_l2,mean_observed_iae,stability_rate,valid_trial_count,bootstrap_best_frequency
command_light,command,light,0.35,5.0,0.25,1074.2317521483765,26.397964228528142,1039.644472834479,1074.5627863546213,1103.499979760325,1070.8210456317001,1078.0621367259155,7005.527677404363,10.050572118512653,5.966393614464661,-1.515276978256593,0.21491593663991523,5.386330662037875,,1.0,200,0.0
command_light,command,light,0.5,5.0,0.25,858.5861499390379,24.229444009030622,826.8323794181273,859.4015582148505,886.3230652473682,855.491575803669,862.0081303696838,4563.7939538730725,8.546064147990094,4.768649134621119,-1.8290301919082628,0.2160146829157339,5.41386799057558,,1.0,200,0.0
command_light,command,light,0.707,5.0,0.25,832.6236403266637,23.984963540850202,801.3110120365895,833.3600546585407,860.1682047265903,829.5691504485195,836.0011039722709,4306.720740110277,8.371387995146174,4.624447478177904,-1.8643092815053757,0.2205641492193985,5.527888989811174,,1.0,200,0.0
command_light,command,light,1.0,5.0,0.25,720.4613076271297,22.96200574124031,691.2068688000094,720.8020443469001,747.1205621509067,717.5646709234568,723.6489726694656,3286.2882003456325,7.64591828824997,4.001473635718874,-2.011443993793283,0.2485106476201338,6.228298105979602,,1.0,200,0.0
command_moderate,command,moderate,0.15,10.0,0.5,719.9505162687451,37.376712942643216,675.2983191357868,718.9214289640281,767.8368156493534,714.5150005609609,724.9652858509905,3452.8699601011085,8.954826542721484,3.9989417671915817,4.3665778458260505,0.38198612932712256,38.29410946504404,,1.0,200,0.0
command_moderate,command,moderate,0.2,10.0,0.5,662.3135650229733,35.98465499912301,618.555050157271,663.195466425998,706.4123146103846,657.0933622851171,667.3346061522302,3132.1632423607607,9.071270079108492,3.6785437501934415,11.070977099566521,0.275342126940985,27.603048225833746,,1.0,200,1.0
command_moderate,command,moderate,0.25,10.0,0.5,1035.3874043836986,43.68096632189535,976.9251358794279,1036.597015444297,1093.96181089368,1028.953976699182,1041.5616742449854,6939.640683436014,11.562082388786289,5.750644299578457,1.9044193328459733,0.22753485969469392,22.810369684393063,,1.0,200,0.0
command_moderate,command,moderate,0.35,10.0,0.5,1077.4066088810193,44.48564044108056,1017.8691251746853,1079.6356935428107,1136.9670422498125,1070.833403921329,1083.6756417318586,7458.006065347819,11.806252322012215,5.9840255389342465,1.659579754386242,0.21852089343868122,21.906719567227793,,1.0,200,0.0
command_moderate,command,moderate,0.5,10.0,0.5,863.6819080828337,40.417021313130114,811.6566235804004,866.448807407003,914.0099941385323,857.8015937775419,869.2936849263871,4969.582779123614,10.274937971161188,4.7969608618846555,3.2667279518876557,0.21710972084734814,21.76524951494665,,1.0,200,0.0
command_moderate,command,moderate,0.707,10.0,0.5,838.2172127691771,39.92195396992065,787.3048522007629,840.2792397305338,888.5071520589003,832.4693343391326,843.7046132364347,4711.520967482037,10.112296989784284,4.655526105512212,3.7292631610080287,0.22167169041493878,22.22258696409761,,1.0,200,0.0
command_moderate,command,moderate,1.0,10.0,0.5,729.5045222296947,37.667252822873095,684.8055652856704,731.8007727306713,778.1110562580675,724.0343914324493,734.661787637599,3694.0717656466654,9.473390834606048,4.051725368893943,7.031770608771805,0.249846853836983,25.04714709715755,,1.0,200,0.0
command_heavy,command,heavy,0.15,20.0,1.0,804.8588341188957,65.14953603123503,723.9706935026427,806.1032716749226,880.9755420457186,795.5247205567448,813.9460437277137,5200.704992710815,13.88623784168832,4.470593152870306,89.2748956959768,0.38003840758096374,152.39540143996643,,1.0,200,0.0
command_heavy,command,heavy,0.2,20.0,1.0,756.5278141191619,63.84838831769247,674.8378624098873,758.211472707606,838.0703478769956,747.4968039705388,765.7404943466292,4681.41410198066,13.153706241316053,4.201947414098641,105.2852261957551,0.2741194229204097,109.9218885910843,,1.0,200,1.0
command_heavy,command,heavy,0.25,20.0,1.0,1072.0469528977999,85.31186715269993,962.1015529447035,1070.5846372414258,1170.7768030320638,1060.1118791710637,1084.0076695116065,8596.685339972459,15.562911407239719,5.9543447150249005,38.56396784694712,0.2264232120022325,90.79570801289523,,1.0,200,0.0
