environment_name,mode,level,trial_index,zeta,noise_std,gust_std,short_period_scale,phugoid_scale,control_scale,stability_flag,true_iae,true_ise,peak_abs_error,mean_abs_error,observed_iae,excess_true_iae_over_clean,shadow_mass_l2_trial,occupancy_proxy_l2,nuisance_power_scalar
command_light,command,light,11,0.2,5.0,0.25,1.009769249970098,0.9923253129080921,1.0317236087467332,1,630.0134047301403,2598.657606526297,6.789151691255725,3.498937223075516,,-21.229183193266522,0.27388489769210567,6.864240248408398,25.0625
command_light,command,light,11,0.25,5.0,0.25,1.009769249970098,0.9923253129080921,1.0317236087467332,1,1014.355573673241,6334.250887517496,9.29732357365138,5.633594975089016,,-19.12741137761168,0.22331490357517525,5.59682977085283,25.0625
command_light,command,light,11,0.35,5.0,0.25,1.009769249970098,0.9923253129080921,1.0317236087467332,1,1056.8904682829252,6851.071404330409,9.557229451600012,5.869840873085164,,-18.85656084370794,0.21456428242218858,5.3775173282061015,25.0625
command_light,command,light,11,0.5,5.0,0.25,1.009769249970098,0.9923253129080921,1.0317236087467332,1,840.2737677312339,4428.1525330208,8.109795658680333,4.666750592764835,,-20.14141239971218,0.21671411690155049,5.431397554845109,25.0625
command_light,command,light,11,0.707,5.0,0.25,1.009769249970098,0.9923253129080921,1.0317236087467332,1,814.2054934480279,4173.408876139828,7.943475906097397,4.521965682095611,,-20.282456160141123,0.2212974762450559,5.546267998391714,25.0625
command_light,command,light,11,1.0,5.0,0.25,1.009769249970098,0.9923253129080921,1.0317236087467332,1,701.5994997981971,3164.0752364249306,7.217574316908522,3.8965464180686986,,-20.87325182272582,0.2494423896090092,6.251649889575793,25.0625
command_light,command,light,12,0.15,5.0,0.25,0.979301095112505,1.0195372745244116,0.9943661485953391,1,721.468869240661,3046.9101253791714,6.269095332842198,4.007239339235647,,5.884930817741974,0.37557285271194485,9.412794621093118,25.0625
command_light,command,light,12,0.2,5.0,0.25,0.979301095112505,1.0195372745244116,0.9943661485953391,1,656.1174790465959,2738.526194350158,6.935885405011655,3.644036386236661,,4.874891123189059,0.27038296306626736,6.776473011848326,25.0625
command_light,command,light,12,0.25,5.0,0.25,0.979301095112505,1.0195372745244116,0.9943661485953391,1,1030.5781531082453,6432.580446377609,9.47265267887393,5.723969587900725,,-2.904831942607416,0.21953517841598943,5.502100409050735,25.0625
command_light,command,light,12,0.35,5.0,0.25,0.979301095112505,1.0195372745244116,0.9943661485953391,1,1071.980093665202,6938.465154859555,9.677675849106746,5.9539437938096125,,-3.7669354614311032,0.21106641406887236,5.289852002601114,25.0625
command_light,command,light,12,0.5,5.0,0.25,0.979301095112505,1.0195372745244116,0.9943661485953391,1,860.8710339341989,4553.963942248158,8.444926514706735,4.781338106302302,,0.45585380325280767,0.2141703230227787,5.367643720758391,25.0625
command_light,command,light,12,0.707,5.0,0.25,0.979301095112505,1.0195372745244116,0.9943661485953391,1,835.485564297331,4302.376282432303,8.258230512241814,4.640335952493305,,0.9976146891619919,0.2186838688098906,5.480764462047883,25.0625
command_light,command,light,12,1.0,5.0,0.25,0.979301095112505,1.0195372745244116,0.9943661485953391,1,725.7563336278836,3301.2256079873064,7.436026370656116,4.030846634438107,,3.2835820069606143,0.2462698663585073,6.172138525610089,25.0625
command_light,command,light,13,0.15,5.0,0.25,1.0294514857886516,0.9687660692129091,1.024452081541277,1,723.1511470748225,3053.182676663316,7.1905007660580935,4.016334727822573,,7.5672086519034565,0.3868896826582927,9.696422671623461,25.0625
command_light,command,light,13,0.2,5.0,0.25,1.0294514857886516,0.9687660692129091,1.024452081541277,1,659.1560397942685,2816.598830166503,7.509516208875354,3.6606330985546265,,7.91345187086165,0.2780809337347618,6.969403401727467,25.0625
command_light,command,light,13,0.25,5.0,0.25,1.0294514857886516,0.9687660692129091,1.024452081541277,1,1040.9056561139312,6617.970337097202,9.817518662988718,5.781046149012601,,7.4226710630784964,0.2296309521194577,5.755125737493908,25.0625
command_light,command,light,13,0.35,5.0,0.25,1.0294514857886516,0.9687660692129091,1.024452081541277,1,1083.1272668293607,7138.9703867206645,10.11586209322558,6.015557628781065,,7.380237702727527,0.2205040418871094,5.526382549795679,25.0625
command_light,command,light,13,0.5,5.0,0.25,1.0294514857886516,0.9687660692129091,1.024452081541277,1,867.9845515108036,4685.211099232794,8.610745217866267,4.820559552559485,,7.569371379857557,0.21931451973509883,5.496570150860914,25.0625
command_light,command,light,13,0.707,5.0,0.25,1.0294514857886516,0.9687660692129091,1.024452081541277,1,842.0944283527706,4426.04692174698,8.463726940540454,4.676754913243222,,7.606478744601532,0.22394116179953988,5.612525367600968,25.0625
command_light,command,light,13,1.0,5.0,0.25,1.0294514857886516,0.9687660692129091,1.024452081541277,1,730.2688124144381,3396.4911405914117,7.833999755156242,4.0556165449436,,7.796060793515153,0.2525706050733332,6.330050789650413,25.0625
command_light,command,light,14,0.15,5.0,0.25,0.9558771325012025,0.9774587519623464,1.0263264518100619,1,740.6640662982591,3192.5038197418553,6.663664441244862,4.114036712762081,,25.080127875340054,0.36861279417479254,9.238358154005738,25.0625
command_light,command,light,14,0.2,5.0,0.25,0.9558771325012025,0.9774587519623464,1.0263264518100619,1,673.1012603334617,2967.2395420721264,7.2889491417150865,3.738509596532994,,21.85867241005485,0.264775201022615,6.635928475629288,25.0625
command_light,command,light,14,0.25,5.0,0.25,0.9558771325012025,0.9774587519623464,1.0263264518100619,1,1054.71453691284,6902.74177943857,10.150839729369693,5.858145561867384,,21.231551861987327,0.21071477391433388,5.2810390212279925,25.0625
